Symbol,Name,Country
^GSPC,S&P 500,USA
^RUT,Russell 2000,USA
^IXIC,NASDAQ Composite,USA
^DJI,Dow Jones Industrial Average,USA
^NDX,NASDAQ-100,USA
^FTSE,FTSE 100,UK
^N225,Nikkei 225,
^VIX,Volatility S&P 500,USA
^VXN,CBOE NASDAQ 100 Voltility,USA
